lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
315887.52291448024,-642.5606689453125,-1208.8343505859375,-1068.1788330078125,-1112.8370361328125,-1047.3394775390625,-651.2587280273438,-1243.27880859375,-1454.495361328125
315887.52691448026,-632.8359375,-1198.92919921875,-1057.8480224609375,-1102.883544921875,-1038.035400390625,-642.4547729492188,-1232.8970947265625,-1444.6427001953125
315887.5309144802,-632.59814453125,-1199.4033203125,-1058.328125,-1103.3646240234375,-1037.474853515625,-641.306640625,-1233.697998046875,-1444.820068359375
315887.53491448023,-643.4159545898438,-1210.58642578125,-1070.036865234375,-1114.800537109375,-1047.6717529296875,-650.8275756835938,-1245.5814208984375,-1455.8062744140625
315887.53891448025,-647.9683227539062,-1214.650146484375,-1074.25390625,-1119.0411376953125,-1052.2215576171875,-655.734130859375,-1249.541748046875,-1460.0260009765625
315887.54291448026,-642.2623901367188,-1208.3392333984375,-1067.7291259765625,-1112.6602783203125,-1046.8992919921875,-651.0673828125,-1242.7557373046875,-1453.9268798828125
315887.5469144802,-632.8973999023438,-1198.9337158203125,-1057.841552734375,-1103.0958251953125,-1038.0294189453125,-642.5831298828125,-1232.84716796875,-1444.623291015625
315887.55091448023,-632.4112548828125,-1199.239013671875,-1058.15185546875,-1103.3712158203125,-1037.2750244140625,-641.1887817382812,-1233.4681396484375,-1444.6512451171875
315887.5549144802,-642.9138793945312,-1210.209228515625,-1069.5797119140625,-1114.5181884765625,-1047.2095947265625,-650.3983764648438,-1245.0523681640625,-1455.3846435546875
315887.5589144802,-647.8209228515625,-1214.7386474609375,-1074.1934814453125,-1119.0960693359375,-1052.150634765625,-655.6411743164062,-1249.5037841796875,-1460.10791015625
315887.5629144802,-642.1015014648438,-1208.17236328125,-1067.519287109375,-1112.557861328125,-1046.6824951171875,-650.9874267578125,-1242.5513916015625,-1453.7235107421875
315887.56691448024,-631.7418212890625,-1197.5533447265625,-1056.4556884765625,-1101.7474365234375,-1036.6455078125,-641.5279541015625,-1231.3773193359375,-1443.1414794921875
315887.5709144802,-631.2182006835938,-1197.7457275390625,-1056.5665283203125,-1101.806884765625,-1035.7767333984375,-640.1126098632812,-1231.77099609375,-1442.922119140625
315887.5749144802,-642.5506591796875,-1210.0118408203125,-1069.23095703125,-1114.1519775390625,-1046.9068603515625,-650.1630859375,-1244.76806640625,-1455.2222900390625
315887.5789144802,-648.0987548828125,-1215.7662353515625,-1074.9688720703125,-1119.8359375,-1052.971923828125,-656.014892578125,-1250.510498046875,-1461.4083251953125
315887.58291448024,-643.1806640625,-1210.39111328125,-1069.3448486328125,-1114.346435546875,-1048.5169677734375,-652.0205688476562,-1244.7081298828125,-1456.35888671875
315887.5869144802,-633.0208129882812,-1200.0733642578125,-1058.5989990234375,-1103.920166015625,-1038.7578125,-642.66357421875,-1233.9287109375,-1446.131103515625
315887.5909144802,-632.611083984375,-1200.5169677734375,-1059.0166015625,-1104.31787109375,-1038.1513671875,-641.3356323242188,-1234.671630859375,-1446.3189697265625
315887.5949144802,-643.8776245117188,-1212.4583740234375,-1071.3577880859375,-1116.3033447265625,-1048.9796142578125,-651.252197265625,-1247.215087890625,-1458.114501953125
315887.59891448024,-649.5650634765625,-1217.8355712890625,-1076.83837890625,-1121.7025146484375,-1054.7635498046875,-657.2139282226562,-1252.52783203125,-1463.7125244140625
315887.60291448026,-644.117919921875,-1211.7294921875,-1070.579833984375,-1115.6148681640625,-1049.6885986328125,-652.8429565429688,-1246.0125732421875,-1457.8302001953125
315887.6069144802,-633.5713500976562,-1200.9356689453125,-1059.436279296875,-1104.7745361328125,-1039.53271484375,-643.147705078125,-1234.8575439453125,-1447.0858154296875
315887.61091448023,-633.0267944335938,-1201.1080322265625,-1059.608154296875,-1104.8824462890625,-1038.6649169921875,-641.6353759765625,-1235.3221435546875,-1446.98681640625
315887.61491448025,-644.354736328125,-1212.8780517578125,-1071.8463134765625,-1116.7808837890625,-1049.40576171875,-651.64990234375,-1247.72021484375,-1458.556640625
