start arm=T1_aux device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[T1_aux] §3.2.1 future-perturb ratio=127.255
fold1 ep 009  tr=2.2059  val_AccPaper=0.7785  val_BalAccMaj=0.7785  win_BalAcc=0.7710  win_f1_macro=0.7659
fold1 ep 010  tr=2.1923  val_AccPaper=0.7815  val_BalAccMaj=0.7815  win_BalAcc=0.7734  win_f1_macro=0.7692
fold1 ep 011  tr=2.1808  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7768  win_f1_macro=0.7738
fold1 ep 012  tr=2.1692  val_AccPaper=0.7759  val_BalAccMaj=0.7759  win_BalAcc=0.7712  win_f1_macro=0.7685
fold1 ep 013  tr=2.1605  val_AccPaper=0.7844  val_BalAccMaj=0.7844  win_BalAcc=0.7758  win_f1_macro=0.7734
fold1 ep 014  tr=2.1452  val_AccPaper=0.7874  val_BalAccMaj=0.7874  win_BalAcc=0.7787  win_f1_macro=0.7763
fold1 ep 015  tr=2.1328  val_AccPaper=0.7781  val_BalAccMaj=0.7781  win_BalAcc=0.7712  win_f1_macro=0.7690
fold1 ep 016  tr=2.1391  val_AccPaper=0.7848  val_BalAccMaj=0.7848  win_BalAcc=0.7760  win_f1_macro=0.7735
fold1 ep 017  tr=2.1257  val_AccPaper=0.7900  val_BalAccMaj=0.7900  win_BalAcc=0.7785  win_f1_macro=0.7762
fold1 ep 018  tr=2.1243  val_AccPaper=0.7833  val_BalAccMaj=0.7833  win_BalAcc=0.7740  win_f1_macro=0.7727
fold1 ep 019  tr=2.1257  val_AccPaper=0.7741  val_BalAccMaj=0.7741  win_BalAcc=0.7687  win_f1_macro=0.7630
fold1 ep 020  tr=2.1169  val_AccPaper=0.7741  val_BalAccMaj=0.7741  win_BalAcc=0.7686  win_f1_macro=0.7645
fold1 ep 021  tr=2.1116  val_AccPaper=0.7867  val_BalAccMaj=0.7867  win_BalAcc=0.7767  win_f1_macro=0.7742
fold1 ep 022  tr=2.1082  val_AccPaper=0.7856  val_BalAccMaj=0.7856  win_BalAcc=0.7790  win_f1_macro=0.7788
fold1 ep 023  tr=2.1138  val_AccPaper=0.7770  val_BalAccMaj=0.7770  win_BalAcc=0.7690  win_f1_macro=0.7659
fold1 ep 024  tr=2.1013  val_AccPaper=0.7848  val_BalAccMaj=0.7848  win_BalAcc=0.7777  win_f1_macro=0.7759
fold1 ep 025  tr=2.1037  val_AccPaper=0.7752  val_BalAccMaj=0.7752  win_BalAcc=0.7691  win_f1_macro=0.7665
fold1 ep 026  tr=2.0994  val_AccPaper=0.7852  val_BalAccMaj=0.7852  win_BalAcc=0.7762  win_f1_macro=0.7739
fold1 ep 027  tr=2.1026  val_AccPaper=0.7793  val_BalAccMaj=0.7793  win_BalAcc=0.7754  win_f1_macro=0.7745
fold1 ep 028  tr=2.0998  val_AccPaper=0.7804  val_BalAccMaj=0.7804  win_BalAcc=0.7763  win_f1_macro=0.7753
fold1 ep 029  tr=2.1000  val_AccPaper=0.7781  val_BalAccMaj=0.7781  win_BalAcc=0.7711  win_f1_macro=0.7692
fold1 ep 030  tr=2.1014  val_AccPaper=0.7759  val_BalAccMaj=0.7759  win_BalAcc=0.7690  win_f1_macro=0.7663
fold1 ep 031  tr=2.0978  val_AccPaper=0.7726  val_BalAccMaj=0.7726  win_BalAcc=0.7700  win_f1_macro=0.7699
fold1 ep 032  tr=2.0929  val_AccPaper=0.7833  val_BalAccMaj=0.7833  win_BalAcc=0.7767  win_f1_macro=0.7765
fold1 ep 033  tr=2.0996  val_AccPaper=0.7704  val_BalAccMaj=0.7704  win_BalAcc=0.7687  win_f1_macro=0.7673
fold1 ep 034  tr=2.0928  val_AccPaper=0.7726  val_BalAccMaj=0.7726  win_BalAcc=0.7664  win_f1_macro=0.7627
fold1 ep 035  tr=2.0877  val_AccPaper=0.7733  val_BalAccMaj=0.7733  win_BalAcc=0.7721  win_f1_macro=0.7712
fold1 ep 036  tr=2.0979  val_AccPaper=0.7715  val_BalAccMaj=0.7715  win_BalAcc=0.7704  win_f1_macro=0.7680
fold1 ep 037  tr=2.0936  val_AccPaper=0.7826  val_BalAccMaj=0.7826  win_BalAcc=0.7769  win_f1_macro=0.7759
fold1 early stop @ ep 37
fold2 ep 001  tr=3.2504  val_AccPaper=0.7415  val_BalAccMaj=0.7419  win_BalAcc=0.7350  win_f1_macro=0.7212
fold2 ep 002  tr=2.5735  val_AccPaper=0.7470  val_BalAccMaj=0.7470  win_BalAcc=0.7420  win_f1_macro=0.7322
fold2 ep 003  tr=2.4015  val_AccPaper=0.7522  val_BalAccMaj=0.7522  win_BalAcc=0.7433  win_f1_macro=0.7342
fold2 ep 004  tr=2.2979  val_AccPaper=0.7552  val_BalAccMaj=0.7552  win_BalAcc=0.7488  win_f1_macro=0.7434
fold2 ep 005  tr=2.2399  val_AccPaper=0.7585  val_BalAccMaj=0.7585  win_BalAcc=0.7547  win_f1_macro=0.7533
fold2 ep 006  tr=2.2061  val_AccPaper=0.7641  val_BalAccMaj=0.7641  win_BalAcc=0.7582  win_f1_macro=0.7581
fold2 ep 007  tr=2.1871  val_AccPaper=0.7652  val_BalAccMaj=0.7652  win_BalAcc=0.7575  win_f1_macro=0.7565
fold2 ep 008  tr=2.1621  val_AccPaper=0.7648  val_BalAccMaj=0.7648  win_BalAcc=0.7574  win_f1_macro=0.7560
fold2 ep 009  tr=2.1510  val_AccPaper=0.7670  val_BalAccMaj=0.7670  win_BalAcc=0.7612  win_f1_macro=0.7609
fold2 ep 010  tr=2.1393  val_AccPaper=0.7667  val_BalAccMaj=0.7667  win_BalAcc=0.7624  win_f1_macro=0.7618
fold2 ep 011  tr=2.1292  val_AccPaper=0.7622  val_BalAccMaj=0.7622  win_BalAcc=0.7588  win_f1_macro=0.7568
fold2 ep 012  tr=2.1159  val_AccPaper=0.7670  val_BalAccMaj=0.7670  win_BalAcc=0.7606  win_f1_macro=0.7606
fold2 ep 013  tr=2.1141  val_AccPaper=0.7663  val_BalAccMaj=0.7663  win_BalAcc=0.7602  win_f1_macro=0.7587
fold2 ep 014  tr=2.1047  val_AccPaper=0.7659  val_BalAccMaj=0.7659  win_BalAcc=0.7629  win_f1_macro=0.7624
fold2 ep 015  tr=2.0978  val_AccPaper=0.7622  val_BalAccMaj=0.7622  win_BalAcc=0.7587  win_f1_macro=0.7576
fold2 ep 016  tr=2.0902  val_AccPaper=0.7619  val_BalAccMaj=0.7619  win_BalAcc=0.7577  win_f1_macro=0.7567
fold2 ep 017  tr=2.0908  val_AccPaper=0.7637  val_BalAccMaj=0.7637  win_BalAcc=0.7594  win_f1_macro=0.7584
fold2 ep 018  tr=2.0775  val_AccPaper=0.7626  val_BalAccMaj=0.7626  win_BalAcc=0.7594  win_f1_macro=0.7578
fold2 ep 019  tr=2.0726  val_AccPaper=0.7652  val_BalAccMaj=0.7652  win_BalAcc=0.7598  win_f1_macro=0.7583
fold2 ep 020  tr=2.0670  val_AccPaper=0.7685  val_BalAccMaj=0.7685  win_BalAcc=0.7614  win_f1_macro=0.7606
fold2 ep 021  tr=2.0649  val_AccPaper=0.7648  val_BalAccMaj=0.7652  win_BalAcc=0.7583  win_f1_macro=0.7545
fold2 ep 022  tr=2.0617  val_AccPaper=0.7685  val_BalAccMaj=0.7685  win_BalAcc=0.7644  win_f1_macro=0.7633
fold2 ep 023  tr=2.0591  val_AccPaper=0.7641  val_BalAccMaj=0.7641  win_BalAcc=0.7599  win_f1_macro=0.7578
fold2 ep 024  tr=2.0546  val_AccPaper=0.7667  val_BalAccMaj=0.7670  win_BalAcc=0.7600  win_f1_macro=0.7575
fold2 ep 025  tr=2.0486  val_AccPaper=0.7611  val_BalAccMaj=0.7611  win_BalAcc=0.7587  win_f1_macro=0.7547
fold2 ep 026  tr=2.0505  val_AccPaper=0.7630  val_BalAccMaj=0.7630  win_BalAcc=0.7599  win_f1_macro=0.7566
fold2 ep 027  tr=2.0435  val_AccPaper=0.7626  val_BalAccMaj=0.7630  win_BalAcc=0.7614  win_f1_macro=0.7598
fold2 ep 028  tr=2.0423  val_AccPaper=0.7644  val_BalAccMaj=0.7644  win_BalAcc=0.7596  win_f1_macro=0.7567
fold2 ep 029  tr=2.0363  val_AccPaper=0.7626  val_BalAccMaj=0.7626  win_BalAcc=0.7602  win_f1_macro=0.7581
fold2 ep 030  tr=2.0368  val_AccPaper=0.7626  val_BalAccMaj=0.7630  win_BalAcc=0.7615  win_f1_macro=0.7589
fold2 ep 031  tr=2.0405  val_AccPaper=0.7644  val_BalAccMaj=0.7644  win_BalAcc=0.7616  win_f1_macro=0.7592
fold2 ep 032  tr=2.0333  val_AccPaper=0.7670  val_BalAccMaj=0.7670  win_BalAcc=0.7633  win_f1_macro=0.7606
fold2 ep 033  tr=2.0366  val_AccPaper=0.7633  val_BalAccMaj=0.7633  win_BalAcc=0.7610  win_f1_macro=0.7574
fold2 ep 034  tr=2.0326  val_AccPaper=0.7685  val_BalAccMaj=0.7685  win_BalAcc=0.7629  win_f1_macro=0.7604
