start arm=C2a device=cuda n_classes=3 y_counts={0: 91800, 1: 91800, 2: 91800} pf_protocol_version=3 no_rest=False
[C2a] §3.2.1 future-perturb ratio=121.565
fold2 ep 031  tr=1.5721  val_AccPaper=0.5226  val_BalAccMaj=0.5278  win_BalAcc=0.5195  win_f1_macro=0.5140
fold2 early stop @ ep 31
fold3 ep 001  tr=2.3344  val_AccPaper=0.5496  val_BalAccMaj=0.5537  win_BalAcc=0.5474  win_f1_macro=0.5398
fold3 ep 002  tr=2.0121  val_AccPaper=0.5756  val_BalAccMaj=0.5793  win_BalAcc=0.5679  win_f1_macro=0.5646
fold3 ep 003  tr=1.9284  val_AccPaper=0.5878  val_BalAccMaj=0.5922  win_BalAcc=0.5816  win_f1_macro=0.5799
fold3 ep 004  tr=1.8847  val_AccPaper=0.5911  val_BalAccMaj=0.5981  win_BalAcc=0.5862  win_f1_macro=0.5862
fold3 ep 005  tr=1.8658  val_AccPaper=0.6052  val_BalAccMaj=0.6126  win_BalAcc=0.5929  win_f1_macro=0.5935
fold3 ep 006  tr=1.8401  val_AccPaper=0.6033  val_BalAccMaj=0.6085  win_BalAcc=0.5917  win_f1_macro=0.5919
fold3 ep 007  tr=1.8183  val_AccPaper=0.5978  val_BalAccMaj=0.6007  win_BalAcc=0.5885  win_f1_macro=0.5882
fold3 ep 008  tr=1.8034  val_AccPaper=0.5907  val_BalAccMaj=0.5970  win_BalAcc=0.5858  win_f1_macro=0.5860
fold3 ep 009  tr=1.7896  val_AccPaper=0.5900  val_BalAccMaj=0.5944  win_BalAcc=0.5815  win_f1_macro=0.5814
fold3 ep 010  tr=1.7783  val_AccPaper=0.5907  val_BalAccMaj=0.5981  win_BalAcc=0.5824  win_f1_macro=0.5827
fold3 ep 011  tr=1.7584  val_AccPaper=0.5937  val_BalAccMaj=0.6011  win_BalAcc=0.5876  win_f1_macro=0.5879
fold3 ep 012  tr=1.7566  val_AccPaper=0.5926  val_BalAccMaj=0.5970  win_BalAcc=0.5863  win_f1_macro=0.5864
fold3 ep 013  tr=1.7425  val_AccPaper=0.5922  val_BalAccMaj=0.5967  win_BalAcc=0.5869  win_f1_macro=0.5873
fold3 ep 014  tr=1.7297  val_AccPaper=0.5859  val_BalAccMaj=0.5919  win_BalAcc=0.5809  win_f1_macro=0.5810
fold3 ep 015  tr=1.7248  val_AccPaper=0.5926  val_BalAccMaj=0.5989  win_BalAcc=0.5851  win_f1_macro=0.5855
fold3 ep 016  tr=1.7185  val_AccPaper=0.5863  val_BalAccMaj=0.5907  win_BalAcc=0.5818  win_f1_macro=0.5813
fold3 ep 017  tr=1.7126  val_AccPaper=0.5907  val_BalAccMaj=0.5963  win_BalAcc=0.5812  win_f1_macro=0.5813
fold3 ep 018  tr=1.7099  val_AccPaper=0.5974  val_BalAccMaj=0.6048  win_BalAcc=0.5875  win_f1_macro=0.5878
fold3 ep 019  tr=1.7009  val_AccPaper=0.5963  val_BalAccMaj=0.6030  win_BalAcc=0.5839  win_f1_macro=0.5843
fold3 ep 020  tr=1.6941  val_AccPaper=0.5919  val_BalAccMaj=0.5948  win_BalAcc=0.5828  win_f1_macro=0.5829
fold3 ep 021  tr=1.6899  val_AccPaper=0.5911  val_BalAccMaj=0.5948  win_BalAcc=0.5821  win_f1_macro=0.5824
fold3 ep 022  tr=1.6856  val_AccPaper=0.5904  val_BalAccMaj=0.5952  win_BalAcc=0.5801  win_f1_macro=0.5803
fold3 ep 023  tr=1.6823  val_AccPaper=0.5837  val_BalAccMaj=0.5896  win_BalAcc=0.5765  win_f1_macro=0.5764
fold3 ep 024  tr=1.6803  val_AccPaper=0.5852  val_BalAccMaj=0.5904  win_BalAcc=0.5770  win_f1_macro=0.5772
fold3 ep 025  tr=1.6723  val_AccPaper=0.5989  val_BalAccMaj=0.6033  win_BalAcc=0.5886  win_f1_macro=0.5889
fold3 early stop @ ep 25
fold4 ep 001  tr=2.2616  val_AccPaper=0.4637  val_BalAccMaj=0.4674  win_BalAcc=0.4644  win_f1_macro=0.4467
fold4 ep 002  tr=1.9076  val_AccPaper=0.4881  val_BalAccMaj=0.4919  win_BalAcc=0.4840  win_f1_macro=0.4785
fold4 ep 003  tr=1.8286  val_AccPaper=0.4926  val_BalAccMaj=0.4978  win_BalAcc=0.4926  win_f1_macro=0.4876
fold4 ep 004  tr=1.8039  val_AccPaper=0.4944  val_BalAccMaj=0.4985  win_BalAcc=0.4964  win_f1_macro=0.4948
fold4 ep 005  tr=1.7794  val_AccPaper=0.4904  val_BalAccMaj=0.4970  win_BalAcc=0.4935  win_f1_macro=0.4917
fold4 ep 006  tr=1.7591  val_AccPaper=0.4978  val_BalAccMaj=0.5052  win_BalAcc=0.4990  win_f1_macro=0.4970
fold4 ep 007  tr=1.7417  val_AccPaper=0.4967  val_BalAccMaj=0.5033  win_BalAcc=0.4985  win_f1_macro=0.4953
fold4 ep 008  tr=1.7257  val_AccPaper=0.4989  val_BalAccMaj=0.5063  win_BalAcc=0.4986  win_f1_macro=0.4965
fold4 ep 009  tr=1.7161  val_AccPaper=0.5030  val_BalAccMaj=0.5104  win_BalAcc=0.4989  win_f1_macro=0.4977
fold4 ep 010  tr=1.6939  val_AccPaper=0.4970  val_BalAccMaj=0.5056  win_BalAcc=0.4975  win_f1_macro=0.4961
fold4 ep 011  tr=1.6914  val_AccPaper=0.4978  val_BalAccMaj=0.5037  win_BalAcc=0.4972  win_f1_macro=0.4951
fold4 ep 012  tr=1.6824  val_AccPaper=0.5000  val_BalAccMaj=0.5052  win_BalAcc=0.5029  win_f1_macro=0.4999
fold4 ep 013  tr=1.6726  val_AccPaper=0.4970  val_BalAccMaj=0.5044  win_BalAcc=0.4967  win_f1_macro=0.4919
fold4 ep 014  tr=1.6670  val_AccPaper=0.5026  val_BalAccMaj=0.5111  win_BalAcc=0.5009  win_f1_macro=0.4985
fold4 ep 015  tr=1.6580  val_AccPaper=0.4989  val_BalAccMaj=0.5070  win_BalAcc=0.4971  win_f1_macro=0.4941
