start scheme21 arm=F_mi_080 n_times=800 t0_max=1.2 two_stage=None inwin=None
fold2 ep 044  tr=0.8729  val_AccPaper=0.5333  val_BalAccMaj=0.5341
fold2 ep 045  tr=0.8759  val_AccPaper=0.5293  val_BalAccMaj=0.5304
fold2 ep 046  tr=0.8728  val_AccPaper=0.5270  val_BalAccMaj=0.5285
fold2 ep 047  tr=0.8730  val_AccPaper=0.5263  val_BalAccMaj=0.5278
fold2 ep 048  tr=0.8698  val_AccPaper=0.5285  val_BalAccMaj=0.5293
fold2 ep 049  tr=0.8647  val_AccPaper=0.5278  val_BalAccMaj=0.5289
fold2 ep 050  tr=0.8643  val_AccPaper=0.5300  val_BalAccMaj=0.5311
fold2 ep 051  tr=0.8649  val_AccPaper=0.5374  val_BalAccMaj=0.5378
fold2 ep 052  tr=0.8648  val_AccPaper=0.5385  val_BalAccMaj=0.5407
fold2 ep 053  tr=0.8599  val_AccPaper=0.5370  val_BalAccMaj=0.5393
fold2 ep 054  tr=0.8602  val_AccPaper=0.5341  val_BalAccMaj=0.5352
fold2 ep 055  tr=0.8581  val_AccPaper=0.5285  val_BalAccMaj=0.5296
fold2 ep 056  tr=0.8587  val_AccPaper=0.5337  val_BalAccMaj=0.5352
fold3 ep 001  tr=1.3063  val_AccPaper=0.5615  val_BalAccMaj=0.5619
fold3 ep 002  tr=1.1889  val_AccPaper=0.5889  val_BalAccMaj=0.5904
fold3 ep 003  tr=1.1149  val_AccPaper=0.6059  val_BalAccMaj=0.6074
fold3 ep 004  tr=1.0724  val_AccPaper=0.6052  val_BalAccMaj=0.6067
fold3 ep 005  tr=1.0502  val_AccPaper=0.6048  val_BalAccMaj=0.6063
fold3 ep 006  tr=1.0350  val_AccPaper=0.6100  val_BalAccMaj=0.6119
fold3 ep 007  tr=1.0211  val_AccPaper=0.6063  val_BalAccMaj=0.6074
fold3 ep 008  tr=1.0165  val_AccPaper=0.6111  val_BalAccMaj=0.6122
fold3 ep 009  tr=0.9999  val_AccPaper=0.6130  val_BalAccMaj=0.6144
fold3 ep 010  tr=0.9917  val_AccPaper=0.5981  val_BalAccMaj=0.6015
fold3 ep 011  tr=0.9869  val_AccPaper=0.6156  val_BalAccMaj=0.6185
fold3 ep 012  tr=0.9822  val_AccPaper=0.6074  val_BalAccMaj=0.6093
fold3 ep 013  tr=0.9725  val_AccPaper=0.6163  val_BalAccMaj=0.6181
fold3 ep 014  tr=0.9766  val_AccPaper=0.6152  val_BalAccMaj=0.6167
fold3 ep 015  tr=0.9741  val_AccPaper=0.6067  val_BalAccMaj=0.6074
fold3 ep 016  tr=0.9733  val_AccPaper=0.6196  val_BalAccMaj=0.6207
fold3 ep 017  tr=0.9631  val_AccPaper=0.6215  val_BalAccMaj=0.6230
fold3 ep 018  tr=0.9611  val_AccPaper=0.6170  val_BalAccMaj=0.6193
fold3 ep 019  tr=0.9622  val_AccPaper=0.6089  val_BalAccMaj=0.6100
fold3 ep 020  tr=0.9566  val_AccPaper=0.6056  val_BalAccMaj=0.6063
fold3 ep 021  tr=0.9525  val_AccPaper=0.6163  val_BalAccMaj=0.6193
fold3 ep 022  tr=0.9542  val_AccPaper=0.6100  val_BalAccMaj=0.6119
fold3 ep 023  tr=0.9482  val_AccPaper=0.6107  val_BalAccMaj=0.6119
fold3 ep 024  tr=0.9428  val_AccPaper=0.6085  val_BalAccMaj=0.6100
fold3 ep 025  tr=0.9439  val_AccPaper=0.6152  val_BalAccMaj=0.6163
fold3 ep 026  tr=0.9417  val_AccPaper=0.6107  val_BalAccMaj=0.6126
fold3 ep 027  tr=0.9403  val_AccPaper=0.6215  val_BalAccMaj=0.6237
fold3 ep 028  tr=0.9393  val_AccPaper=0.6130  val_BalAccMaj=0.6144
fold3 ep 029  tr=0.9357  val_AccPaper=0.6141  val_BalAccMaj=0.6163
fold3 ep 030  tr=0.9350  val_AccPaper=0.6174  val_BalAccMaj=0.6200
fold3 ep 031  tr=0.9352  val_AccPaper=0.6141  val_BalAccMaj=0.6163
fold3 ep 032  tr=0.9309  val_AccPaper=0.6178  val_BalAccMaj=0.6193
fold3 ep 033  tr=0.9339  val_AccPaper=0.6167  val_BalAccMaj=0.6189
fold3 ep 034  tr=0.9283  val_AccPaper=0.6189  val_BalAccMaj=0.6211
fold3 ep 035  tr=0.9305  val_AccPaper=0.6156  val_BalAccMaj=0.6163
fold3 ep 036  tr=0.9259  val_AccPaper=0.6204  val_BalAccMaj=0.6211
fold3 ep 037  tr=0.9211  val_AccPaper=0.6200  val_BalAccMaj=0.6222
fold4 ep 001  tr=1.2831  val_AccPaper=0.5296  val_BalAccMaj=0.5319
