lsl_time,C3,C4,CZ,CP3,CP4,CPZ,FC3,FC4
316013.9909144833,-661.4935302734375,-1234.4149169921875,-1101.182373046875,-1169.705078125,-1076.610107421875,-668.6742553710938,-1328.81689453125,-1518.94287109375
316013.99491448334,-656.3301391601562,-1228.267333984375,-1095.22021484375,-1163.6654052734375,-1071.4017333984375,-664.3462524414062,-1322.4464111328125,-1512.8282470703125
316013.9989144833,-652.1514892578125,-1223.981689453125,-1091.0335693359375,-1159.4088134765625,-1067.0601806640625,-660.0341796875,-1318.1978759765625,-1508.4241943359375
316014.0029144833,-655.1845703125,-1228.1258544921875,-1095.0208740234375,-1163.4261474609375,-1070.02880859375,-662.0216064453125,-1322.4849853515625,-1512.2901611328125
316014.0069144833,-661.0613403320312,-1234.477294921875,-1101.2423095703125,-1169.72265625,-1076.0340576171875,-667.6885375976562,-1328.85986328125,-1518.5816650390625
316014.01091448334,-661.1942749023438,-1233.831787109375,-1100.7022705078125,-1169.156005859375,-1076.1864013671875,-668.52392578125,-1328.140380859375,-1518.0960693359375
316014.01491448336,-656.1412963867188,-1227.793701171875,-1094.8909912109375,-1163.335205078125,-1071.060546875,-664.161865234375,-1322.0347900390625,-1512.2581787109375
316014.0189144834,-652.005126953125,-1223.6849365234375,-1090.8326416015625,-1159.281494140625,-1066.847412109375,-659.8967895507812,-1317.9541015625,-1508.071044921875
316014.0229144833,-655.5123291015625,-1228.399658203125,-1095.37451171875,-1163.8358154296875,-1070.3375244140625,-662.2788696289062,-1322.9140625,-1512.5384521484375
316014.02691448334,-661.3651123046875,-1234.748046875,-1101.5626220703125,-1170.0528564453125,-1076.32275390625,-667.955322265625,-1329.29296875,-1518.8424072265625
316014.03091448336,-661.4915161132812,-1233.947265625,-1100.9171142578125,-1169.44384765625,-1076.394287109375,-668.8046875,-1328.4256591796875,-1518.241455078125
316014.0349144834,-657.0026245117188,-1228.5960693359375,-1095.7457275390625,-1164.2230224609375,-1071.9462890625,-665.1240844726562,-1322.9075927734375,-1513.0870361328125
