[01:34:52] === stream sub02_ses01_20260723_180607 ===
[01:34:53] subject=sub02 trials=62 train=31 eval=31
[01:34:56] [sub02] shallow task fold0 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:05] fold2 ep 009 tr=0.2247 va=0.5748 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:06] fold2 ep 010 tr=0.2102 va=0.5632 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:06] fold2 ep 011 tr=0.2108 va=0.5875 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:06] fold2 ep 012 tr=0.1974 va=0.5844 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:06] fold2 ep 013 tr=0.1793 va=0.5688 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:06] fold2 ep 014 tr=0.1681 va=0.5735 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:06] fold2 ep 015 tr=0.1557 va=0.5736 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:06] fold2 ep 016 tr=0.1337 va=0.5423 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:06] fold2 ep 017 tr=0.1341 va=0.5405 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:07] fold2 ep 018 tr=0.1355 va=0.5456 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:07] fold2 ep 019 tr=0.1348 va=0.5449 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:07] fold2 ep 020 tr=0.1294 va=0.5295 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:07] fold2 ep 021 tr=0.1102 va=0.5239 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:07] fold2 ep 022 tr=0.1194 va=0.5505 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:07] fold2 ep 023 tr=0.1087 va=0.5591 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:07] fold2 ep 024 tr=0.1020 va=0.5611 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:07] fold2 ep 025 tr=0.0906 va=0.5337 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:08] fold2 ep 026 tr=0.0836 va=0.5114 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:08] fold2 ep 027 tr=0.0884 va=0.5498 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:08] fold2 ep 028 tr=0.0838 va=0.5376 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:08] fold2 ep 029 tr=0.0831 va=0.5236 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:08] fold2 ep 030 tr=0.0751 va=0.5582 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:08] fold2 ep 031 tr=0.0785 va=0.5437 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:08] fold2 ep 032 tr=0.0724 va=0.5148 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:08] fold2 ep 033 tr=0.0632 va=0.5494 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:09] fold2 ep 034 tr=0.0606 va=0.5484 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:09] fold2 ep 035 tr=0.0559 va=0.5007 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:09] fold2 ep 036 tr=0.0642 va=0.5593 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:09]   early stop @ ep 36
[01:35:09] [eval_half] Acc_paper=0.6230 BalAcc_maj=0.6231 win_BalAcc=0.5809
[01:35:09] [sub02] shallow task fold3 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:09] fold3 ep 001 tr=0.8328 va=1.0629 val_AccPaper=0.5000 val_BalAccMaj=0.5000
[01:35:09] fold3 ep 002 tr=0.6381 va=0.9241 val_AccPaper=0.5833 val_BalAccMaj=0.5833
[01:35:09] fold3 ep 003 tr=0.5057 va=0.8447 val_AccPaper=0.5000 val_BalAccMaj=0.5000
[01:35:09] fold3 ep 004 tr=0.4211 va=0.7849 val_AccPaper=0.5833 val_BalAccMaj=0.5833
[01:35:10] fold3 ep 005 tr=0.3660 va=0.7201 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:10] fold3 ep 006 tr=0.3466 va=0.6861 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:10] fold3 ep 007 tr=0.3121 va=0.6976 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:10] fold3 ep 008 tr=0.2995 va=0.6543 val_AccPaper=0.6667 val_BalAccMaj=0.6667
[01:35:10] fold3 ep 009 tr=0.3011 va=0.6060 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:10] fold3 ep 010 tr=0.2450 va=0.6048 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:10] fold3 ep 011 tr=0.2289 va=0.5583 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:10] fold3 ep 012 tr=0.1855 va=0.5690 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:11] fold3 ep 013 tr=0.1820 va=0.5859 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:11] fold3 ep 014 tr=0.1868 va=0.5450 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:11] fold3 ep 015 tr=0.1810 va=0.5257 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:11] fold3 ep 016 tr=0.1548 va=0.4963 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:11] fold3 ep 017 tr=0.1571 va=0.4714 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:11] fold3 ep 018 tr=0.1528 va=0.4334 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:11] fold3 ep 019 tr=0.1402 va=0.4241 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:11] fold3 ep 020 tr=0.1322 va=0.4241 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:11] fold3 ep 021 tr=0.1255 va=0.4628 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:12] fold3 ep 022 tr=0.1202 va=0.4085 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:12] fold3 ep 023 tr=0.1310 va=0.4269 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:12] fold3 ep 024 tr=0.1226 va=0.4241 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:12] fold3 ep 025 tr=0.0951 va=0.4089 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:12] fold3 ep 026 tr=0.1000 va=0.3911 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:12] fold3 ep 027 tr=0.0828 va=0.3514 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:12] fold3 ep 028 tr=0.0824 va=0.3493 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:12] fold3 ep 029 tr=0.0903 va=0.3434 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:13] fold3 ep 030 tr=0.0913 va=0.3977 val_AccPaper=0.8333 val_BalAccMaj=0.8333
[01:35:13] fold3 ep 031 tr=0.0817 va=0.3091 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:13] fold3 ep 032 tr=0.0659 va=0.3060 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:13] fold3 ep 033 tr=0.0842 va=0.3270 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:13] fold3 ep 034 tr=0.0703 va=0.3541 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:13] fold3 ep 035 tr=0.0670 va=0.3152 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:13] fold3 ep 036 tr=0.0598 va=0.3541 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:13] fold3 ep 037 tr=0.0695 va=0.3371 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:14] fold3 ep 038 tr=0.0662 va=0.3381 val_AccPaper=0.9167 val_BalAccMaj=0.9167
[01:35:14]   early stop @ ep 38
[01:35:14] [eval_half] Acc_paper=0.5738 BalAcc_maj=0.5747 win_BalAcc=0.5724
[01:35:14] [sub02] shallow task fold4 ft_tr=1050 ft_va=252 eval=1281 full_model=True
[01:35:14] fold4 ep 001 tr=0.9070 va=0.8606 val_AccPaper=0.5000 val_BalAccMaj=0.5000
[01:35:14] fold4 ep 002 tr=0.5783 va=0.7427 val_AccPaper=0.7500 val_BalAccMaj=0.7500
[01:35:14] fold4 ep 003 tr=0.4453 va=0.7267 val_AccPaper=0.8333 val_BalAccMaj=0.8333
