start arm=A1 device=cuda n_classes=3
[A1] §3.2.1 future-perturb ratio=123.398
fold1 ep 022  tr=0.4926  val_AccPaper=0.6544  val_BalAccMaj=0.4363  win_BalAcc=0.4350  win_f1_macro=0.4296
fold1 ep 023  tr=0.4905  val_AccPaper=0.6822  val_BalAccMaj=0.4548  win_BalAcc=0.4481  win_f1_macro=0.4471
fold1 ep 024  tr=0.4908  val_AccPaper=0.6678  val_BalAccMaj=0.4452  win_BalAcc=0.4419  win_f1_macro=0.4388
fold1 ep 025  tr=0.4896  val_AccPaper=0.6756  val_BalAccMaj=0.4504  win_BalAcc=0.4430  win_f1_macro=0.4406
fold1 ep 026  tr=0.4860  val_AccPaper=0.6783  val_BalAccMaj=0.4522  win_BalAcc=0.4430  win_f1_macro=0.4405
fold1 ep 027  tr=0.4835  val_AccPaper=0.6789  val_BalAccMaj=0.4526  win_BalAcc=0.4471  win_f1_macro=0.4456
fold1 ep 028  tr=0.4866  val_AccPaper=0.6844  val_BalAccMaj=0.4563  win_BalAcc=0.4499  win_f1_macro=0.4487
fold1 ep 029  tr=0.4817  val_AccPaper=0.6894  val_BalAccMaj=0.4596  win_BalAcc=0.4520  win_f1_macro=0.4517
fold1 ep 030  tr=0.4830  val_AccPaper=0.6861  val_BalAccMaj=0.4574  win_BalAcc=0.4485  win_f1_macro=0.4465
fold1 ep 031  tr=0.4812  val_AccPaper=0.6833  val_BalAccMaj=0.4556  win_BalAcc=0.4504  win_f1_macro=0.4488
fold1 ep 032  tr=0.4779  val_AccPaper=0.6822  val_BalAccMaj=0.4548  win_BalAcc=0.4468  win_f1_macro=0.4444
fold1 ep 033  tr=0.4793  val_AccPaper=0.6700  val_BalAccMaj=0.4467  win_BalAcc=0.4412  win_f1_macro=0.4388
fold1 ep 034  tr=0.4772  val_AccPaper=0.6872  val_BalAccMaj=0.4581  win_BalAcc=0.4535  win_f1_macro=0.4532
fold1 early stop @ ep 34
fold2 ep 001  tr=0.8317  val_AccPaper=0.6211  val_BalAccMaj=0.4156  win_BalAcc=0.4078  win_f1_macro=0.4096
fold2 ep 002  tr=0.5876  val_AccPaper=0.6322  val_BalAccMaj=0.4222  win_BalAcc=0.4168  win_f1_macro=0.4160
fold2 ep 003  tr=0.5459  val_AccPaper=0.6256  val_BalAccMaj=0.4170  win_BalAcc=0.4180  win_f1_macro=0.4187
fold2 ep 004  tr=0.5292  val_AccPaper=0.6333  val_BalAccMaj=0.4222  win_BalAcc=0.4186  win_f1_macro=0.4189
fold2 ep 005  tr=0.5227  val_AccPaper=0.6378  val_BalAccMaj=0.4252  win_BalAcc=0.4237  win_f1_macro=0.4232
fold2 ep 006  tr=0.5167  val_AccPaper=0.6461  val_BalAccMaj=0.4307  win_BalAcc=0.4272  win_f1_macro=0.4272
fold2 ep 007  tr=0.5096  val_AccPaper=0.6550  val_BalAccMaj=0.4367  win_BalAcc=0.4306  win_f1_macro=0.4304
fold2 ep 008  tr=0.5074  val_AccPaper=0.6511  val_BalAccMaj=0.4341  win_BalAcc=0.4285  win_f1_macro=0.4284
