start scheme21 arm=J1_tok n_times=1000 t0_max=None two_stage=None inwin=True
fold2 ep 033  tr=1.1611  val_AccPaper=0.5411  val_BalAccMaj=0.5481
fold2 ep 034  tr=1.1580  val_AccPaper=0.5367  val_BalAccMaj=0.5411
fold2 ep 035  tr=1.1587  val_AccPaper=0.5444  val_BalAccMaj=0.5489
fold2 ep 036  tr=1.1543  val_AccPaper=0.5367  val_BalAccMaj=0.5430
fold2 ep 037  tr=1.1533  val_AccPaper=0.5330  val_BalAccMaj=0.5381
fold2 ep 038  tr=1.1475  val_AccPaper=0.5422  val_BalAccMaj=0.5493
fold2 ep 039  tr=1.1490  val_AccPaper=0.5356  val_BalAccMaj=0.5400
fold2 ep 040  tr=1.1449  val_AccPaper=0.5344  val_BalAccMaj=0.5385
fold2 ep 041  tr=1.1417  val_AccPaper=0.5433  val_BalAccMaj=0.5504
fold2 ep 042  tr=1.1421  val_AccPaper=0.5433  val_BalAccMaj=0.5474
fold2 ep 043  tr=1.1401  val_AccPaper=0.5319  val_BalAccMaj=0.5370
fold2 ep 044  tr=1.1391  val_AccPaper=0.5404  val_BalAccMaj=0.5470
fold2 ep 045  tr=1.1355  val_AccPaper=0.5444  val_BalAccMaj=0.5507
fold2 ep 046  tr=1.1360  val_AccPaper=0.5374  val_BalAccMaj=0.5444
fold2 ep 047  tr=1.1337  val_AccPaper=0.5407  val_BalAccMaj=0.5456
fold2 ep 048  tr=1.1299  val_AccPaper=0.5356  val_BalAccMaj=0.5396
fold2 ep 049  tr=1.1286  val_AccPaper=0.5437  val_BalAccMaj=0.5478
fold2 ep 050  tr=1.1259  val_AccPaper=0.5378  val_BalAccMaj=0.5430
fold2 ep 051  tr=1.1240  val_AccPaper=0.5467  val_BalAccMaj=0.5504
fold3 ep 001  tr=1.6677  val_AccPaper=0.5630  val_BalAccMaj=0.5685
fold3 ep 002  tr=1.4822  val_AccPaper=0.5719  val_BalAccMaj=0.5800
fold3 ep 003  tr=1.4058  val_AccPaper=0.5815  val_BalAccMaj=0.5859
fold3 ep 004  tr=1.3734  val_AccPaper=0.5937  val_BalAccMaj=0.5996
fold3 ep 005  tr=1.3485  val_AccPaper=0.6004  val_BalAccMaj=0.6056
fold3 ep 006  tr=1.3306  val_AccPaper=0.5989  val_BalAccMaj=0.6052
fold3 ep 007  tr=1.3165  val_AccPaper=0.5948  val_BalAccMaj=0.5978
fold3 ep 008  tr=1.3044  val_AccPaper=0.5933  val_BalAccMaj=0.5974
fold3 ep 009  tr=1.2964  val_AccPaper=0.5944  val_BalAccMaj=0.5996
fold3 ep 010  tr=1.2858  val_AccPaper=0.6033  val_BalAccMaj=0.6056
