[15:33:02] === S1 cues=1398 train=699 eval=699 ===
[15:36:30] fold3 ep 041 tr=0.0692 va=0.2131 val_AccPaper=0.9357
[15:36:32] fold3 ep 042 tr=0.0699 va=0.1897 val_AccPaper=0.9429
[15:36:33] fold3 ep 043 tr=0.0704 va=0.2002 val_AccPaper=0.9321
[15:36:35] fold3 ep 044 tr=0.0693 va=0.1989 val_AccPaper=0.9357
[15:36:36] fold3 ep 045 tr=0.0690 va=0.2105 val_AccPaper=0.9286
[15:36:37] fold3 ep 046 tr=0.0661 va=0.2215 val_AccPaper=0.9357
[15:36:39] fold3 ep 047 tr=0.0680 va=0.2154 val_AccPaper=0.9321
[15:36:40] fold3 ep 048 tr=0.0704 va=0.1981 val_AccPaper=0.9393
[15:36:42] fold3 ep 049 tr=0.0704 va=0.2061 val_AccPaper=0.9286
[15:36:43] fold3 ep 050 tr=0.0635 va=0.2238 val_AccPaper=0.9214
[15:36:43]   early stop @ ep 50
[15:36:46] [S1] task fold4 ft_tr=17798 ft_va=4408 eval=22239
[15:36:47] fold4 ep 001 tr=0.3713 va=0.2361 val_AccPaper=0.9000
[15:36:48] fold4 ep 002 tr=0.2426 va=0.2179 val_AccPaper=0.9143
[15:36:50] fold4 ep 003 tr=0.2059 va=0.1909 val_AccPaper=0.9214
[15:36:51] fold4 ep 004 tr=0.1744 va=0.1873 val_AccPaper=0.9321
[15:36:53] fold4 ep 005 tr=0.1570 va=0.1800 val_AccPaper=0.9250
[15:36:54] fold4 ep 006 tr=0.1453 va=0.1736 val_AccPaper=0.9393
[15:36:56] fold4 ep 007 tr=0.1370 va=0.1788 val_AccPaper=0.9250
[15:36:57] fold4 ep 008 tr=0.1273 va=0.1740 val_AccPaper=0.9107
[15:36:59] fold4 ep 009 tr=0.1211 va=0.1689 val_AccPaper=0.9357
[15:37:00] fold4 ep 010 tr=0.1098 va=0.1685 val_AccPaper=0.9250
[15:37:01] fold4 ep 011 tr=0.1147 va=0.1649 val_AccPaper=0.9321
[15:37:03] fold4 ep 012 tr=0.1087 va=0.1812 val_AccPaper=0.9143
[15:37:04] fold4 ep 013 tr=0.1057 va=0.1739 val_AccPaper=0.9250
[15:37:06] fold4 ep 014 tr=0.0954 va=0.1819 val_AccPaper=0.9179
[15:37:07] fold4 ep 015 tr=0.0933 va=0.1679 val_AccPaper=0.9286
[15:37:09] fold4 ep 016 tr=0.0939 va=0.1925 val_AccPaper=0.9286
[15:37:10] fold4 ep 017 tr=0.0957 va=0.1656 val_AccPaper=0.9357
[15:37:11] fold4 ep 018 tr=0.0893 va=0.1843 val_AccPaper=0.9357
[15:37:13] fold4 ep 019 tr=0.0854 va=0.1761 val_AccPaper=0.9286
[15:37:14] fold4 ep 020 tr=0.0846 va=0.1673 val_AccPaper=0.9321
[15:37:16] fold4 ep 021 tr=0.0852 va=0.1661 val_AccPaper=0.9429
[15:37:17] fold4 ep 022 tr=0.0834 va=0.1688 val_AccPaper=0.9321
[15:37:19] fold4 ep 023 tr=0.0806 va=0.1738 val_AccPaper=0.9357
[15:37:20] fold4 ep 024 tr=0.0809 va=0.1778 val_AccPaper=0.9071
[15:37:21] fold4 ep 025 tr=0.0806 va=0.1726 val_AccPaper=0.9179
[15:37:23] fold4 ep 026 tr=0.0790 va=0.1786 val_AccPaper=0.9357
[15:37:24] fold4 ep 027 tr=0.0766 va=0.1812 val_AccPaper=0.9214
[15:37:26] fold4 ep 028 tr=0.0791 va=0.1669 val_AccPaper=0.9357
[15:37:27] fold4 ep 029 tr=0.0771 va=0.1732 val_AccPaper=0.9357
[15:37:29] fold4 ep 030 tr=0.0760 va=0.1602 val_AccPaper=0.9536
[15:37:30] fold4 ep 031 tr=0.0727 va=0.1706 val_AccPaper=0.9464
[15:37:31] fold4 ep 032 tr=0.0693 va=0.1769 val_AccPaper=0.9357
[15:37:33] fold4 ep 033 tr=0.0673 va=0.1833 val_AccPaper=0.9179
[15:37:34] fold4 ep 034 tr=0.0677 va=0.1823 val_AccPaper=0.9214
[15:37:36] fold4 ep 035 tr=0.0719 va=0.1957 val_AccPaper=0.9250
[15:37:37] fold4 ep 036 tr=0.0667 va=0.1894 val_AccPaper=0.9250
[15:37:39] fold4 ep 037 tr=0.0705 va=0.1923 val_AccPaper=0.9214
[15:37:40] fold4 ep 038 tr=0.0649 va=0.1776 val_AccPaper=0.9357
[15:37:42] fold4 ep 039 tr=0.0699 va=0.2111 val_AccPaper=0.9179
[15:37:43] fold4 ep 040 tr=0.0675 va=0.2043 val_AccPaper=0.9214
[15:37:44] fold4 ep 041 tr=0.0647 va=0.1813 val_AccPaper=0.9357
[15:37:46] fold4 ep 042 tr=0.0673 va=0.1981 val_AccPaper=0.9036
[15:37:47] fold4 ep 043 tr=0.0590 va=0.1883 val_AccPaper=0.9286
[15:37:49] fold4 ep 044 tr=0.0592 va=0.1971 val_AccPaper=0.9143
[15:37:50] fold4 ep 045 tr=0.0634 va=0.2012 val_AccPaper=0.9393
[15:37:52] fold4 ep 046 tr=0.0616 va=0.2102 val_AccPaper=0.9321
[15:37:53] fold4 ep 047 tr=0.0652 va=0.1989 val_AccPaper=0.9179
[15:37:55] fold4 ep 048 tr=0.0622 va=0.2247 val_AccPaper=0.9286
[15:37:56] fold4 ep 049 tr=0.0639 va=0.2139 val_AccPaper=0.9357
[15:37:57] fold4 ep 050 tr=0.0590 va=0.1898 val_AccPaper=0.9321
[15:37:57]   early stop @ ep 50
[15:38:00] [S1] three fold0 ft_tr=17798 ft_va=4408 eval=22239
[15:38:01] fold0 ep 001 tr=0.6245 va=0.4359 val_AccPaper=0.8607
[15:38:02] fold0 ep 002 tr=0.4349 va=0.3857 val_AccPaper=0.8607
[15:38:04] fold0 ep 003 tr=0.3602 va=0.3636 val_AccPaper=0.8857
[15:38:05] fold0 ep 004 tr=0.3185 va=0.3633 val_AccPaper=0.8607
[15:38:07] fold0 ep 005 tr=0.3027 va=0.3447 val_AccPaper=0.8679
[15:38:08] fold0 ep 006 tr=0.2771 va=0.3212 val_AccPaper=0.8964
[15:38:10] fold0 ep 007 tr=0.2678 va=0.3295 val_AccPaper=0.8893
[15:38:11] fold0 ep 008 tr=0.2446 va=0.3396 val_AccPaper=0.8821
[15:38:13] fold0 ep 009 tr=0.2349 va=0.3436 val_AccPaper=0.8857
[15:38:14] fold0 ep 010 tr=0.2245 va=0.3420 val_AccPaper=0.8821
[15:38:15] fold0 ep 011 tr=0.2231 va=0.3388 val_AccPaper=0.8821
[15:38:17] fold0 ep 012 tr=0.2193 va=0.3434 val_AccPaper=0.8857
[15:38:18] fold0 ep 013 tr=0.2105 va=0.3518 val_AccPaper=0.8857
[15:38:20] fold0 ep 014 tr=0.1981 va=0.3437 val_AccPaper=0.8786
[15:38:21] fold0 ep 015 tr=0.1982 va=0.3663 val_AccPaper=0.8714
[15:38:23] fold0 ep 016 tr=0.1909 va=0.3456 val_AccPaper=0.8929
[15:38:24] fold0 ep 017 tr=0.1829 va=0.3635 val_AccPaper=0.8857
[15:38:25] fold0 ep 018 tr=0.1773 va=0.3448 val_AccPaper=0.8929
[15:38:27] fold0 ep 019 tr=0.1704 va=0.3467 val_AccPaper=0.9000
[15:38:28] fold0 ep 020 tr=0.1724 va=0.3619 val_AccPaper=0.8786
[15:38:30] fold0 ep 021 tr=0.1675 va=0.3813 val_AccPaper=0.8893
[15:38:31] fold0 ep 022 tr=0.1648 va=0.3780 val_AccPaper=0.8821
[15:38:33] fold0 ep 023 tr=0.1674 va=0.3809 val_AccPaper=0.8714
[15:38:34] fold0 ep 024 tr=0.1592 va=0.3720 val_AccPaper=0.8821
[15:38:35] fold0 ep 025 tr=0.1591 va=0.3688 val_AccPaper=0.8857
[15:38:37] fold0 ep 026 tr=0.1539 va=0.3850 val_AccPaper=0.8893
[15:38:38] fold0 ep 027 tr=0.1565 va=0.3649 val_AccPaper=0.8821
[15:38:40] fold0 ep 028 tr=0.1552 va=0.3777 val_AccPaper=0.8893
[15:38:41] fold0 ep 029 tr=0.1509 va=0.3808 val_AccPaper=0.8821
[15:38:43] fold0 ep 030 tr=0.1580 va=0.3802 val_AccPaper=0.8964
[15:38:44] fold0 ep 031 tr=0.1493 va=0.3700 val_AccPaper=0.8821
[15:38:46] fold0 ep 032 tr=0.1423 va=0.3901 val_AccPaper=0.8821
[15:38:47] fold0 ep 033 tr=0.1440 va=0.3888 val_AccPaper=0.8750
[15:38:48] fold0 ep 034 tr=0.1378 va=0.4050 val_AccPaper=0.8786
[15:38:50] fold0 ep 035 tr=0.1386 va=0.4121 val_AccPaper=0.8679
[15:38:51] fold0 ep 036 tr=0.1396 va=0.4143 val_AccPaper=0.8571
[15:38:53] fold0 ep 037 tr=0.1464 va=0.3937 val_AccPaper=0.8857
[15:38:54] fold0 ep 038 tr=0.1308 va=0.3739 val_AccPaper=0.8893
[15:38:56] fold0 ep 039 tr=0.1315 va=0.4071 val_AccPaper=0.8857
[15:38:56]   early stop @ ep 39
[15:38:58] [S1] three fold1 ft_tr=17798 ft_va=4408 eval=22239
[15:38:59] fold1 ep 001 tr=0.6536 va=0.4806 val_AccPaper=0.8536
[15:39:01] fold1 ep 002 tr=0.4587 va=0.4027 val_AccPaper=0.8929
[15:39:02] fold1 ep 003 tr=0.3858 va=0.3693 val_AccPaper=0.8929
[15:39:04] fold1 ep 004 tr=0.3410 va=0.3625 val_AccPaper=0.8964
[15:39:05] fold1 ep 005 tr=0.3145 va=0.3474 val_AccPaper=0.8964
[15:39:07] fold1 ep 006 tr=0.2799 va=0.3682 val_AccPaper=0.8679
[15:39:08] fold1 ep 007 tr=0.2768 va=0.3622 val_AccPaper=0.8929
[15:39:09] fold1 ep 008 tr=0.2506 va=0.3507 val_AccPaper=0.8857
[15:39:11] fold1 ep 009 tr=0.2506 va=0.3591 val_AccPaper=0.8786
[15:39:12] fold1 ep 010 tr=0.2340 va=0.3597 val_AccPaper=0.8714
[15:39:14] fold1 ep 011 tr=0.2274 va=0.3731 val_AccPaper=0.8786
[15:39:15] fold1 ep 012 tr=0.2271 va=0.3825 val_AccPaper=0.8679
[15:39:17] fold1 ep 013 tr=0.2170 va=0.3540 val_AccPaper=0.8893
[15:39:18] fold1 ep 014 tr=0.2120 va=0.3711 val_AccPaper=0.8893
[15:39:20] fold1 ep 015 tr=0.2009 va=0.4073 val_AccPaper=0.8643
[15:39:21] fold1 ep 016 tr=0.1992 va=0.3808 val_AccPaper=0.8786
[15:39:23] fold1 ep 017 tr=0.2029 va=0.3709 val_AccPaper=0.8893
[15:39:24] fold1 ep 018 tr=0.1910 va=0.4010 val_AccPaper=0.8821
[15:39:25] fold1 ep 019 tr=0.1917 va=0.4016 val_AccPaper=0.8714
